ID;MeasurementPoint;Timestamp;Reading;Direction;Method;Created;Updated
8texz9ti-y7o1-ij0j-7wx7-khemhnraap51;ZG0074500874000000000000001653123;2026-05-31 22:00:00.000;600.000.000;s;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
6rh1skq6-ie7p-detv-0ikj-yoa4wlpqwcvh;ZG0074500874000000000000001653123;2026-05-31 22:15:00.000;834.000.000;s;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
2wbe58qd-592m-yq6f-7o6v-tjwbga1eif81;ZG0074500874000000000000001653123;2026-05-31 22:30:00.000;969.000.000;s;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
nvc40bw9-6j40-bsbc-x4l9-llycmka8whou;ZG0074500874000000000000001653123;2026-05-31 22:45:00.000;42.000.000;s;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
khdn0brq-hm2d-eix2-sllo-z6n17a7m51ik;ZG0074500874000000000000001653123;2026-05-31 23:00:00.000;804.000.000;s;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
gdt1ig96-xayl-1xv2-3721-k1eegixjmdfo;ZG0074500874000000000000001653123;2026-05-31 23:15:00.000;575.000.000;s;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
wt0ibbz0-toke-lb37-wpib-wspjizm11yny;ZG0074500874000000000000001653123;2026-05-31 23:30:00.000;549.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
kuy7vrso-c3h4-set7-ah9f-alj2g627dkzg;ZG0074500874000000000000001653123;2026-05-31 23:45:00.000;832.000.000;s;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
dvydous3-124u-otvp-s1z8-fhgmhp4jurvu;ZG0074500874000000000000001653123;2026-06-01 00:00:00.000;606.000.000;s;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
0hu952u3-xz75-twdf-7pph-ukxe7jfbvc2h;ZG0074500874000000000000001653123;2026-06-01 00:15:00.000;868.000.000;s;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
k36eipxm-knh3-wrcv-5mja-ebojb7iynn1s;ZG0074500874000000000000001653123;2026-06-01 00:30:00.000;408.000.000;s;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
h822xecc-aty0-ylox-2g0w-gadtnuehxxwm;ZG0074500874000000000000001653123;2026-06-01 00:45:00.000;591.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
a2nzw0ki-lx9d-757c-qebr-j1703b1tznhy;ZG0074500874000000000000001653123;2026-06-01 01:00:00.000;589.000.000;s;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
w2k96194-2o5y-kloc-y8gl-o6545knn70vy;ZG0074500874000000000000001653123;2026-06-01 01:15:00.000;912.000.000;s;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
30vmaryn-hrmy-kx7e-meyt-48d9siz6gg2o;ZG0074500874000000000000001653123;2026-06-01 01:30:00.000;618.000.000;s;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
szpfb355-7mi0-mwm4-09om-u892os5560rj;ZG0074500874000000000000001653123;2026-06-01 01:45:00.000;322.000.000;s;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
6vwgpkpe-2txb-ee4s-fzrz-x3nsxyhfmefp;ZG0074500874000000000000001653123;2026-06-01 02:00:00.000;740.000.000;s;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
7bxfwk1y-1xbk-rvwp-m8ls-b8vjgrxi4p0s;ZG0074500874000000000000001653123;2026-06-01 02:15:00.000;984.000.000;s;03;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
ka0dzr1j-6fr3-dddi-9m5i-gt1qz11slhu3;ZG0074500874000000000000001653123;2026-06-01 02:30:00.000;501.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
eshilif2-9r3t-rgrx-3hcn-xmv2xcnkfvhh;ZG0074500874000000000000001653123;2026-06-01 02:45:00.000;14.000.000;s;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
9m29s10u-xims-60tb-2tfp-zit9y716hti7;ZG0074500874000000000000001653123;2026-06-01 03:00:00.000;577.000.000;s;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
l9ipu2rg-j1op-pqml-wrfs-q5c1orwmmyj4;ZG0074500874000000000000001653123;2026-06-01 03:15:00.000;220.000.000;s;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
52umnsxh-j173-phud-3qz5-voppl65an7r7;ZG0074500874000000000000001653123;2026-06-01 03:30:00.000;861.000.000;s;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
8jvr91fl-ghhy-j2dy-5qse-z420a4hu402a;ZG0074500874000000000000001653123;2026-06-01 03:45:00.000;92.000.000;s;02;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
nkcllz1o-l54y-1498-bsib-28mt5zhcuzq3;ZG0074500874000000000000001653123;2026-06-01 04:00:00.000;683.000.000;s;L3;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
n73hq0r2-f4cd-7y8e-np02-5km2ayy3picc;ZG0074500874000000000000001653123;2026-06-01 04:15:00.000;302.000.000;s;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
zxj3f4lp-j1h5-f179-7ho0-guwh24kr1m7g;ZG0074500874000000000000001653123;2026-06-01 04:30:00.000;485.000.000;s;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
sww88fcx-146j-ozj1-2mna-ibnx5q358i2j;ZG0074500874000000000000001653123;2026-06-01 04:45:00.000;218.000.000;s;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
l89igeti-etus-gke1-qrhr-bn8dpybjlcjh;ZG0074500874000000000000001653123;2026-06-01 05:00:00.000;505.000.000;s;L2;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
0xfevjgf-xa8h-o0zq-mbjm-90sec32cy9yo;ZG0074500874000000000000001653123;2026-06-01 05:15:00.000;479.000.000;s;04;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
7gucu5hz-e2u6-y16f-s69u-e2mzndmz0cfd;ZG0074500874000000000000001653123;2026-06-01 05:30:00.000;791.000.000;s;L1;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
c8uzxr6m-ifj0-s38i-8ph8-6tivq01swyqp;ZG0074500874000000000000001653123;2026-06-01 05:45:00.000;817.000.000;s;01;2026-07-01 17:00:02.893;2026-07-01 17:00:02.893
